BrandName,Brand ID,Year,Absolut,Aristocrat,Barton,Belvedere,Burnett,Chopin,Crystal Palac,Finlandia,Fleischmann's,Fris,Gilbey's,Gordon's,Grey Goose,Kamchatka,Ketel One,Level,McCormick,Polar Ice,Popov,Pravda,Seagram's,Skol,Sky,Smirnoff,Stolicnaya,Tanqueray,Three Olives,TotalSales,LagTotalSales,2LagTotalSales,LnSales,LnLSales,Ln2Lsales,LnDiff,diff,IfDom,DollarSales,PriceRerUnit,LagPrice,LnPrice,LnLPrice,Mag,News,Outdoor,Broad,Print,LnMag,LnNews,LnOut,LnBroad,LnPrint,Tier1,Tier2,TotalMinusSales,LagTotalMinusSales,TierSales,OutsideTierSales,LagTierSales,LagOutsideTierSales,Firstintro,Marketshare,LagMktshare,YearID,total ad,,,,,,,,
Absolut,15,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5013,4847,4636,8.51979,8.486115,8.441607,0.0336742,3%,0,760723,151.75,151.75,5.022235,5.022234,16024.8,624.9,2447.1,4534,16649.7,9.681892,6.437592,7.802659,8.41936,9.720147,1,0,59211,59345,8119,51092,7251,52094,0,0.1206034,0.1244001,15,40280.5,,,,,,,,
Aristocrat,10,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,610,610,6.380123,6.413459,6.413459,-0.0333357,-3%,1,22760,38.57627,37.04918,3.652637,3.612246,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,63250,63198,11385,51865,12395,50803,0,0.0263381,0.0260884,3,6,,,,,,,,
Aristocrat,10,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,590,610,6.39693,6.380123,6.413459,0.0168071,2%,1,22200,37,38.57627,3.610918,3.652637,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,63272,63250,11409,51863,11385,51865,0,0.0255102,0.0263381,4,6,,,,,,,,
Aristocrat,10,1997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605,600,590,6.405229,6.39693,6.380123,0.0082989,1%,1,22385,37,37,3.610918,3.610918,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,63299,63272,11273,52026,11409,51863,0,0.0258106,0.0255102,5,6,,,,,,,,
Aristocrat,10,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,605,600,6.421622,6.405229,6.39693,0.0163927,2%,1,21470,34.91057,37,3.55279,3.610918,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,63321,63299,10970,52351,11273,52026,0,0.0247535,0.0258106,6,6,,,,,,,,
Aristocrat,10,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,615,605,6.429719,6.421622,6.405229,0.0080972,1%,1,21700,35,34.91057,3.555348,3.55279,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,63348,63321,10863,52485,10970,52351,0,0.0246904,0.0247535,7,6,,,,,,,,
Aristocrat,10,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,620,615,6.44572,6.429719,6.421622,0.0160012,2%,1,21937,34.82064,35,3.55021,3.555348,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,63370,63348,11236,52134,10863,52485,0,0.0237181,0.0246904,8,6,,,,,,,,
Aristocrat,10,2001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,630,620,6.461468,6.44572,6.429719,0.015748,2%,1,22285,34.82031,34.82064,3.550201,3.55021,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,63392,63370,10973,52419,11236,52134,0,0.0230257,0.0237181,9,6,,,,,,,,
Aristocrat,10,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,640,630,6.476973,6.461468,6.44572,0.0155048,2%,1,22633,34.82,34.82031,3.550192,3.550201,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,63414,63392,10933,52481,10973,52419,0,0.0218495,0.0230257,10,6,,,,,,,,
Aristocrat,10,2003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,650,640,6.49224,6.476973,6.461468,0.0152669,2%,1,22981,34.8197,34.82,3.550183,3.550192,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,63436,63414,11101,52335,10933,52481,0,0.0204772,0.0218495,11,6,,,,,,,,
Aristocrat,10,2004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,660,650,6.522093,6.49224,6.476973,0.0298529,3%,1,23678,34.82059,34.8197,3.550209,3.550183,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,63448,63436,11701,51747,11101,52335,0,0.0196896,0.0204772,12,6,,,,,,,,
Aristocrat,10,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,680,660,6.55108,6.522093,6.49224,0.0289874,3%,1,24374,34.82,34.82059,3.550192,3.550209,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,63460,63448,11513,51947,11701,51747,0,0.0192424,0.0196896,13,6,,,,,,,,
Aristocrat,10,2006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,700,680,6.565265,6.55108,6.522093,0.014185,1%,1,24722,34.81972,34.82,3.550184,3.550192,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,63482,63460,11754,51728,11513,51947,0,0.0182224,0.0192424,14,6,,,,,,,,
Aristocrat,10,2007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,710,700,6.579251,6.565265,6.55108,0.0139856,1%,1,25070,34.81944,34.81972,3.550176,3.550184,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,63504,63482,11848,51656,11754,51728,0,0.0173218,0.0182224,15,6,,,,,,,,
Barton,5,1995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1205,1160,1120,7.094235,7.056175,7.021084,0.0380597,4%,1,40280,33.42739,34.48276,3.509376,3.540459,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,62635,62648,10770,51865,11845,50803,0,0.0537922,0.0496108,3,6,,,,,,,,
Barton,5,1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,1205,1160,7.079185,7.094235,7.056175,-0.0150499,-1%,1,40833,34.40017,33.42739,3.538061,3.509376,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,62685,62635,10822,51863,10770,51865,0,0.0504677,0.0537922,4,6,,,,,,,,
Barton,5,1997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279,1187,1205,7.153834,7.079185,7.094235,0.0746489,8%,1,44765,35,34.40017,3.555348,3.538061,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,62625,62685,10599,52026,10822,51863,0,0.0545648,0.0504677,5,6,,,,,,,,
Barton,5,1998,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,1279,1187,7.151485,7.153834,7.079185,-0.0023489,0%,1,43894,34.39968,35,3.538048,3.555348,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,62660,62625,10309,52351,10599,52026,0,0.0513584,0.0545648,6,6,,,,,,,,
Barton,5,1999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315,1276,1279,7.181592,7.151485,7.153834,0.030107,3%,1,45236,34.4,34.39968,3.538057,3.538047,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,62653,62660,10168,52485,10309,52351,0,0.0523675,0.0513584,7,6,,,,,,,,
Barton,5,2000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1383,1315,1276,7.23201,7.181592,7.151485,0.0504179,5%,1,47575,34.39986,34.4,3.538052,3.538057,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,62617,62653,10483,52134,10168,52485,0,0.0520669,0.0523675,8,6,,,,,,,,
Barton,5,2001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1459,1383,1315,7.285507,7.23201,7.181592,0.0534973,5%,1,51211,35.10007,34.39986,3.558203,3.538053,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,62573,62617,10154,52419,10483,52134,0,0.0524915,0.0520669,9,6,,,,,,,,
Barton,5,2002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1483,1459,1383,7.301822,7.285507,7.23201,0.016315,2%,1,51878,34.98179,35.10007,3.554828,3.558203,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,62581,62573,10100,52481,10154,52419,0,0.0498504,0.0524915,10,6,,,,,,,,
Barton,5,2003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1496,1483,1459,7.31055,7.301822,7.285507,0.008728,1%,1,52194,34.88904,34.98179,3.552173,3.554828,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,62600,62581,10265,52335,10100,52481,0,0.0464149,0.0498504,11,6,,,,,,,,
Barton,5,2004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1614,1496,1483,7.386471,7.31055,7.301822,0.0759206,8%,1,55985,34.68711,34.88904,3.546368,3.552173,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,62514,62600,10767,51747,10265,52335,0,0.0467338,0.0464149,12,6,,,,,,,,
Barton,5,2005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1546,1614,1496,7.343426,7.386471,7.31055,-0.0430446,-4%,1,54883,35.5,34.68711,3.569533,3.546368,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,62614,62514,10667,51947,10767,51747,0,0.0424982,0.0467338,13,6,,,,,,,,
Barton,5,2006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1584,1546,1614,7.367709,7.343426,7.386471,0.0242829,2%,1,56232,35.5,35.5,3.569533,3.569533,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,62608,62614,10880,51728,10667,51947,0,0.040654,0.0424982,14,6,,,,,,,,
Barton,5,2007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1653,1584,1546,7.410347,7.367709,7.343426,0.0426378,4%,1,58682,35.5003,35.5,3.569541,3.569533,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,62571,62608,10915,51656,10880,51728,0,0.0397681,0.040654,15,6,,,,,,,,
Belvedere,22,2001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,140,144,5.609472,4.941642,4.969813,0.66783,95%,0,65650,240.4762,,5.482621,,3498.1,1133.2,1,1,4631.3,8.159975,7.032801,1.00E-05,1.00E-05,8.440593,1,0,63759,63860,7464,56295,7014,56846,0,0.0098219,0.0052707,9,9264.6,,,,,,,,
Belvedere,22,2002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,273,140,5.723585,5.609472,4.941642,0.1141133,12%,0,75750,247.549,240.4762,5.511609,5.482621,5439.7,1296.1,1,1,6735.8,8.60148,7.167115,1.00E-05,1.00E-05,8.815192,1,0,63758,63759,8366,55392,7464,56295,0,0.0102861,0.0098219,10,13473.6,,,,,,,,
Belvedere,22,2003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,306,273,5.826,5.723585,5.609472,0.1024151,11%,0,81810,241.3274,247.549,5.486155,5.511609,5013.3,150.8,1,1,5164.1,8.51985,5.015954,1.00E-05,1.00E-05,8.549486,1,0,63757,63758,9088,54669,8366,55392,0,0.0105178,0.0102861,11,10330.2,,,,,,,,
Belvedere,22,2004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,339,306,5.910797,5.826,5.723585,0.0847969,9%,0,88880,240.8672,241.3274,5.484246,5.486155,6729.6,132.7,1,1,6862.3,8.814271,4.888091,1.00E-05,1.00E-05,8.833798,1,0,63759,63757,9953,53806,9088,54669,0,0.0106845,0.0105178,12,13726.6,,,,,,,,
